AGV_ID,interrupt_value,t1,t2,t3,t4
agv2,2,1736960862.98379,1736960862.9991438,1736960863.0021381,1736960863.0546572
agv1,1,1736960862.98379,1736960863.0932426,1736960863.0932426,1736960863.1542766
agv1,1,1736960887.6921265,1736960887.6993458,1736960887.699876,1736960887.7428186
agv2,2,1736960887.6921265,1736960887.6999023,1736960887.700427,1736960887.7577467
agv1,1,1736960890.013036,1736960890.017039,1736960890.017039,1736960890.0811133
agv2,1,1736961482.505718,1736961482.512718,1736961482.5137196,1736961482.5617533
agv3,2,1736961482.5067186,1736961482.5976622,1736961482.5976622,1736961482.6529324
agv1,1,1736961542.4030883,1736961542.41007,1736961542.41007,1736961542.4633915
agv2,2,1736961542.404055,1736961542.4824407,1736961542.4834404,1736961542.5328937
agv1,1,1736961543.480486,1736961543.4865298,1736961543.4875324,1736961543.53405
agv3,2,1736961610.353477,1736961610.3594766,1736961610.3604774,1736961610.411713
agv1,1,1736961610.353477,1736961610.4478357,1736961610.448818,1736961610.5034611
